                  tag                   | count 
 #globalpandemic                        |     2
 #God                                   |     2
 #government                            |     2
 #granddaughter                         |     2
 #greenscreen                           |     2
 #Gujarat                               |     2
 #gums                                  |     2
 #gym                                   |     2
 #hadapsar                              |     2
 #HandSanitizer                         |     2
 #happy                                 |     2
 #healthy                               |     2
 #heating                               |     2
 #hemp                                  |     2
 #Hercai                                |     2
 #HHS                                   |     2
 #history                               |     2
 #hive                                  |     2
 #HNY2021                               |     2
 #holistic                              |     2
 #Hope                                  |     2
 #hopeful                               |     2
 #hopelessness                          |     2
 #Hospitals                             |     2
 #HouseOfCommons                        |     2
 #Houston                               |     2
 #hugging                               |     2
 #humanity                              |     2
 #Hypnosis                              |     2
 #Hypnotherapy                          |     2
 #hypocritical                          |     2
 #IAmHerdImmunity                       |     2
 #immigration                           |     2
 #implants                              |     2
 #Independence                          |     2
 #Indians                               |     2
 #influenza                             |     2
 #inspiration                           |     2
 #instagood                             |     2
 #instagram                             |     2
 #Insurrectionists                      |     2
 #InThisTogether                        |     2
 #iom                                   |     2
 #Islington                             |     2
 #Islingtoncouncil                      |     2
 #italydidit                            |     2
 #January                               |     2
 #JasmineBhasin                         |     2
 #Jesus                                 |     2
 #jiminyouareperfect                    |     2
 #jisooday                              |     2
 #Job                                   |     2
 #JohnsonHasFailedTheNation             |     2
 #kaduna                                |     2
 #kano                                  |     2
 #kindness                              |     2
 #KitaJagaKita                          |     2
 #KoryBaker                             |     2
 #la36                                  |     2
 #labourer                              |     2
 #lacounty                              |     2
 #LarryKing                             |     2
 #latestnews                            |     2
 #laughteristhebestmedicine             |     2
 #Leaftopia                             |     2
 #lebanon                               |     2
 #letgirlslearn                         |     2
 #LetsFly                               |     2
 #level5lockdown                        |     2
 #Lewisham                              |     2
 #LGBT                                  |     2
 #life                                  |     2
 #like                                  |     2
 #LKA                                   |     2
 #londonlockdown                        |     2
 #LongCovid                             |     2
 #Love                                  |     2
 #Lupus                                 |     2
 #LymeDisease                           |     2
 #man                                   |     2
 #Manchester                            |     2
 #Manga                                 |     2
 #manhattan                             |     2
 #Manipur                               |     2
 #masks                                 |     2
 #MasksUp                               |     2
 #MaskUpPA                              |     2
 #Master                                |     2
 #MasterFilm                            |     2
 #MasterPongal                          |     2
 #Medical                               |     2
 #medicalcannabis                       |     2
 #medicalmarijuana                      |     2
 #medicalstudy                          |     2
 #medicine                              |     2
 #MedTwitter                            |     2
 #meeting                               |     2
 #mentalhealth                          |     2
 #MentalHealth                          |     2
 #MenWeAreWithYou                       |     2
 #mexico                                |     2
 #Michelin                              |     2
 #michigan                              |     2
 #MiddleEast                            |     2
 #midwest                               |     2
 #mirrorsandslidingglassdoors           |     2
 #MitchMcConnellHatesAmericans          |     2
 #moderna                               |     2
 #Modi                                  |     2
 #money                                 |     2
 #MorningJoe                            |     2
 #mother                                |     2
 #motivation                            |     2
 #mriglesias                            |     2
 #murdering                             |     2
 #mutant                                |     2
 #mutated                               |     2
 #mydubai                               |     2
 #mysterydoug                           |     2
 #mysteryscience                        |     2
 #mystyle                               |     2
 #MySuperG                              |     2
 #Nalanda                               |     2
 #natural                               |     2
 #nausea                                |     2
 #netflix                               |     2
 #News                                  |     2
 #NEWSMAXTV                             |     2
 #Newsnight                             |     2
 #newstrain                             |     2
 #NewStrainOfCoronavirus                |     2
 #newvariant                            |     2
 #newyear                               |     2
 #NewYearsDay                           |     2
 #newyearseve                           |     2
 #NewYearsEve                           |     2
 #NewYearWithPLT                        |     2
 #NewZealand                            |     2
 #NHSheroes                             |     2
 #NOISundays                            |     2
 #nudes                                 |     2
 #NurseTwitter                          |     2
 #NWAnews                               |     2
 #NWArk                                 |     2
 #nyc                                   |     2
 #onlyfans                              |     2
 #OOH                                   |     2
 #Oregon                                |     2
 #ox                                    |     2
 #Oxford                                |     2
 #oxfordastrazeneca                     |     2
 #ÖzlemTüreci                           |     2
 #𝐏𝐚𝐤𝐢𝐬𝐭𝐚𝐧                              |     2
 #PakistanArmy                          |     2
 #PakvsNz                               |     2
 #pandemiclife                          |     2
 #Pandemics                             |     2
 #Pandemie                              |     2
 #panggilanhotel                        |     2
 #partyLife                             |     2
 #partytime                             |     2
 #patients                              |     2
 #pcr                                   |     2
 #PCR                                   |     2
 #PerfectPlanet                         |     2
 #periodontist                          |     2
 #periodontology                        |     2
 #Periscope                             |     2
 #PfizerBioNTech                        |     2
 #phone                                 |     2
 #photographer                          |     2
 #photojournalism                       |     2
 #PMModi                                |     2
 #poemsfromquarantine                   |     2
 #poet                                  |     2
 #Politics                              |     2
 #PoliticsOverEverything                |     2
 #pop                                   |     2
 #PowerBookII                           |     2
 #PowerGhost                            |     2
 #PPE                                   |     2
 #PPP                                   |     2
 #pray                                  |     2
 #prayer                                |     2
 #President                             |     2
 #presidenttrump                        |     2
 #pressconference                       |     2
 #Property                              |     2
 #prostatecancerawareness               |     2
 #PublicHealth                          |     2
 #pullup                                |     2
 #Quebec                                |     2
 #quoteoftheday                         |     2
 #quotes                                |     2
 #racism                                |     2
 #railway                               |     2
 #RatatouilleMusical                    |     2
 #Relaxation                            |     2
 #RemoveTrumpTODAY                      |     2
 #Repost                                |     2
 #republicans                           |     2
 #Resolutions                           |     2
 #restaurants                           |     2
 #retail                                |     2
 #RIP                                   |     2
 #ripdream                              |     2
 #RIPdream                              |     2
 #Road2Recovery                         |     2
 #RT                                    |     2
 #rules                                 |     2
 #safety                                |     2
 #SAGE                                  |     2
 #SanAntonio                            |     2
 #Saran                                 |     2
 #SARS_CoV_2                            |     2
 #Satan                                 |     2
 #SBA                                   |     2
 #schools                               |     2
 #scientists                            |     2
 #scotland                              |     2
 #sexeducation                          |     2
 #sffd                                  |     2
 #Shafqatmehmood                        |     2
 #shoplocal                             |     2
 #shortstory                            |     2
 #shotoniphone                          |     2
 #sketch                                |     2
 #SlowTheSpread                         |     2
 #SmallBusiness                         |     2
 #Spain                                 |     2
 #SpeakerPelosi                         |     2
 #spikingtemps                          |     2
 #SRINAGAR                              |     2
 #StateofEmergency                      |     2
(1000 rows)

